,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
924,If My Heart Had A Heart,Cassadee Pope,1QYlXHbPU054pJqhNrpdEK,2019-02-01,0.586,0.793,-5.636,0.0407,0.087,0.11,0.443,142.054,-13.089534938740718
925,Legends,Kelsea Ballerini,6vlxmQGwmlyp07YjkugV6K,2018-10-26,0.577,0.727,-5.848,0.0319,0.0547,0.0891,0.24,112.041,-14.947531088541542
926,I Don't Know About You,Chris Lane,3yOs8FffuG6hPbzQG9lIqV,2018-07-13,0.593,0.81,-5.733,0.0625,0.602,0.119,0.712,144.011,-15.041536691663996
927,Better Man,Little Big Town,23TxRN09aR1RB0G0tFoT0b,2017-02-24,0.514,0.836,-3.663,0.0381,0.112,0.0878,0.501,143.888,-15.10778718229167
928,Lonely Call,RaeLynn,2Wj1AZdBPMA1mkuuoTfOPg,2017-03-24,0.588,0.722,-4.667,0.0289,0.0663,0.0721,0.243,145.931,-17.020038923931338
929,A Little Dive Bar in Dahlonega,Ashley McBryde,7qcRDEpmDWS0bLHaZRYE8c,2018-03-30,0.639,0.479,-6.192,0.0447,0.426,0.151,0.571,146.084,-17.106386461411972
930,Break Things,Kylie Morgan,45hbxz8xCxQfa9vmnV187v,2020-02-28,0.638,0.74,-5.071,0.0314,0.0329,0.134,0.673,105.006,-22.00208890383656
931,I Do Too,The Reklaws,2QkHSVK3QhVayKyzTrZF39,2019-08-27,0.57,0.682,-5.747,0.027,0.0601,0.0975,0.472,103.044,-23.940492298469138
932,Last Night's Mascara,Brynn Cartelli,4NacIk1bS1nCVwd9v4wcdX,2018-12-18,0.783,0.531,-6.062,0.0589,0.27,0.0867,0.526,102.481,-24.49980653456018
933,Rowdy,RaeLynn,2ke60Nn6L4X9lfM1EMCSyD,2021-09-24,0.531,0.865,-3.224,0.0435,0.713,0.222,0.499,100.0,-27.135469362176995
934,I'm Alright,Jo Dee Messina,0MjT9xQqJrQlNrkWKZgFbQ,1998-03-17,0.676,0.733,-7.745,0.0294,0.191,0.192,0.591,98.234,-28.788139795562966
935,Make Him Wait,Abby Anderson,530TAWLytdeGGAhg7y0JB5,2018-04-27,0.406,0.427,-8.177,0.0416,0.684,0.108,0.21,158.802,-29.893398116749758
936,Sway,Danielle Bradbery,6EUDUDQP5ynE3g5SWCA8sc,2017-12-01,0.7,0.706,-5.479,0.0265,0.39,0.366,0.648,97.028,-29.959739616637606
937,Something Tonight,Taylor Acorn,1Yd0F4guRfYDSR29L7OUH5,2017-11-17,0.578,0.764,-4.108,0.035,0.184,0.0535,0.506,97.027,-30.020857849679103
938,Take You Home,Cassadee Pope,0w66IW7I1HBEjPOOc2R0WF,2019-02-01,0.505,0.865,-4.32,0.0599,0.226,0.113,0.639,159.943,-31.01857580889564
939,Next Girl,Carly Pearce,4QpWhd7l2NrmGmfw4qGlpa,2020-09-04,0.583,0.867,-4.17,0.0637,0.143,0.0863,0.962,160.096,-31.183434908350044
940,Goodbye Summer,Danielle Bradbery,1kmpcpEK0f56M5dkqNajRk,2018-08-03,0.551,0.657,-5.743,0.0287,0.0211,0.29,0.695,94.969,-32.014981880201
941,Guys Like You,Taylor Acorn,1pylDblRLs0w7wpEiJYF0i,2017-11-17,0.574,0.706,-4.748,0.0347,0.0114,0.262,0.229,94.991,-32.02182909455502
942,Mother,Sugarland,2w4HfONROYg7ShL8yOsQII,2018-06-08,0.558,0.674,-6.438,0.0732,0.344,0.154,0.288,94.79,-32.19097491999895
943,What If I Never Get Over You,Lady A,0qkdE1C0ufnUISKwhg8Wh6,2019-11-15,0.576,0.724,-5.147,0.0274,0.016,0.107,0.34,93.029,-33.967122553621735
944,It All Comes Out in the Wash,Miranda Lambert,41FLEFSeRCv19OBn0vLiaH,2019-11-01,0.602,0.73,-4.925,0.0313,0.00106,0.095,0.923,164.029,-35.07565626989481
945,80s Mercedes,Maren Morris,58spuRyMUsjKHQHEGwLC99,2017-03-17,0.485,0.834,-5.413,0.0715,0.0665,0.28,0.659,90.933,-36.05557622315432
946,Doin' Fine,Lauren Alaina,6nqvInlnaMzEzaw4s0zbee,2017-01-27,0.439,0.752,-4.143,0.0375,0.116,0.133,0.456,166.051,-37.12696557595424
947,Baby Girl - 3rd Version/Remix/Single Version,Sugarland,6qQIH999KekS3qFWqR5qMO,2004-01-01,0.436,0.736,-3.201,0.0333,0.215,0.0488,0.583,166.819,-37.95358443211616
